first,adjective / adverb,"preceding all others in time, order, or importance : such as",,,
furniture,noun,"equipment or articles that are necessary, useful, or desirable: such as",,,
firstly,adverb,in the first place : first,,,
further,adverb,at or to a greater distance or more advanced point,,,
to fish,verb,"Word not found. Suggestions: toothfish, cowfish, toffies",,,
gallery,noun,a roofed promenade : colonnade,,,
golf,noun,a game in which a player using special clubs attempts to sink a ball with as few strokes as possible into each of the 9 or 18 successive holes on a course,,,
gap,noun,"a break in a barrier (such as a wall, hedge, or line of military defense)",,,
government,noun,the body of persons that constitutes the governing authority of a political unit or organization: such as,,,
gas,noun,a fluid (such as air) that has neither independent shape nor volume but tends to expand indefinitely,,,
grape,noun,a smooth-skinned juicy light green or deep red to purplish black berry eaten dried or fresh as a fruit or fermented to produce wine,,,
gate,noun,an opening in a wall or fence,,,
grass,noun,herbage suitable or used for grazing animals,,,
general,adjective,"involving, applicable to, or affecting the whole",,,
to greet,verb,"Word not found. Suggestions: to shreds, to sleep, to great effect",,,
gift,noun,"a notable capacity, talent, or endowment",,,
ground,noun,the surface of a planet (such as the earth or Mars); especially : the surface of the earth or a particular part of it sometimes as contrasted with the air or sea —often used before another noun,,,
goal,noun,the end toward which effort is directed : aim,,,
guest,noun,a person entertained in one's house,,,
goat,noun,"any of various hollow-horned ruminant mammals (especially of the genus Capra) related to the sheep but of lighter build and with backwardly arching horns, a short tail, and usually straight hair; especially : one (Capra hircus) long domesticated for its milk, wool, and flesh",,,
guide / to guide,noun / verb,Word not found. Suggestions: side to side,,,
god,noun,the supreme or ultimate reality: such as,,,
gun,noun,a piece of ordnance usually with high muzzle velocity and comparatively flat trajectory,,,
gold,noun / adjective,"a yellow metallic element with atomic number 79 that occurs naturally in pure form and is used especially in coins, jewelry, and electronics",,,
guy,noun,"man, fellow",,,
habit,noun,a settled tendency or usual manner of behavior,,,
high,adjective / adverb,"rising or extending upward a great distance or a distance greater than others of its kind : taller than average, usual, or expected",,,
half,noun / determiner,either of two equal parts that compose something; also : a part approximately equal to one of these,,,
hill,noun,a usually rounded natural elevation of land lower than a mountain,,,
hall,noun,the castle or house of a medieval king or noble,,,
himself,pronoun,"that identical male one —used reflexively, for emphasis, in absolute constructions, and in place of him especially when joined to another object",,,
happily,adverb,in a fortunate manner,,,
his,determiner / pronoun,"of or relating to him or himself especially as possessor, agent, or object of an action",,,
headache,noun,pain in the head,,,
hit / to hit,noun / verb,"Word not found. Suggestions: hit out at, hit it big",,,
heart,noun,a hollow muscular organ of vertebrate animals that by its rhythmic contraction acts as a force pump maintaining the circulation of the blood,,,
hockey,noun,field hockey,,,
heat,noun,to become warm or hot,,,
to hold,verb,"Word not found. Suggestions: toehold, took hold, touchhole",,,
heavy,adjective,having great weight; also : characterized by mass or weight,,,
hole,noun,an opening through something : perforation,,,
height,noun,the part that rises or extends upward the greatest distance : the highest part : summit,,,
hope,noun,to cherish a desire with anticipation : to want something to happen or be true,,,
helpful,adjective,of service or assistance : useful,,,
horn,noun,one of the usually paired bony processes that arise from the head of many ungulates and that are found in some extinct mammals and reptiles: such as,,,
hero,noun,a mythological or legendary figure often of divine descent endowed with great strength or ability,,,
huge,adjective,very large or extensive: such as,,,
hers,pronoun,that which belongs to her —used without a following noun as a pronoun equivalent in meaning to the adjective her,,,
human,noun / adjective,"of, relating to, or characteristic of humans",,,
herself,pronoun,"that identical female one —used reflexively, for emphasis, in absolute constructions, and in place of her especially when joined to another object",,,
to hurry / hurry,verb / noun,"Word not found. Suggestions: hurry-skurry, hurry-scurry, to err is human",,,
to hide,verb,"Word not found. Suggestions: the idea, to size, tide",,,
to hurt,verb,"Word not found. Suggestions: to heart, yoghurt, tort",,,
ideal,adjective,"exactly right for a particular purpose, person, or situation",,,
ink,noun,a colored usually liquid material for writing and printing,,,
idiot,noun,a foolish or stupid person,,,
insect,noun,"any of a class (Insecta) of arthropods (such as bugs or bees) with well-defined head, thorax, and abdomen, only three pairs of legs, and typically one or two pairs of wings",,,
ill,adjective,not in good health; also : nauseated,,,
inside,adverb / preposition,an interior or internal part or place : the part within,,,
illness,noun,sickness,,,
instead,adverb,as a substitute or equivalent,,,
image,noun,a visual representation of something: such as,,,
instruction,noun,an outline or manual of technical procedure : directions,,,
to imagine,verb,"Word not found. Suggestions: Toamasina, reimagine, Tim Kaine",,,
instructor,noun,one that instructs : teacher; especially : a college teacher below professorial rank,,,
immediately,adverb,without interval of time : straightway,,,
instrument,noun,a device used to produce music; also : a singing voice,,,
impossible,adjective,incapable of being or of occurring,,,
intelligent,adjective,having or indicating a high or satisfactory degree of intelligence and mental capacity,,,
included,adjective,to take in or comprise as a part of a whole or group,,,
international,adjective,"of, relating to, or affecting two or more nations",,,
including,preposition,to take in or comprise as a part of a whole or group,,,
introduction,noun,something that introduces: such as,,,
to increase,verb,"Word not found. Suggestions: increase, on the increase, increased",,,
to invent,verb,"Word not found. Suggestions: co-invent, coinvent, co-invents",,,
incredible,adjective,too extraordinary and improbable to be believed,,,
invention,noun,something invented: such as,,,
